name;description;category;notes;footprint;tag;quantity;storage;mass;ipn;mpn;manufacturing_status;manufacturer;supplier;spn;price;favourite;needs_review;minamount;partUnit;manufacturing_status
TBLH13-500-02BK;Therminal Block 2 Poles, PTH, Screwless, Horizontal, 3.50 Pitch, 24~16 (AWG);;P4;;Inverte Logica;1;;;;TBLH13-500-02BK;;CUI;Mouser;;;0;0;;;
G88MP081028CREU;Conn MicroPowerPlus 4x2, PiP, pitch 3mm, 12,5A, Vertical;;P5;;Inverte Logica;1;;;;G88MP081028CREU;;Amphenol;Mouser;;;0;0;;;
FTSH-105-01-L-DV-K;Samtech FTSH Header, 10pin (5x2), pitch 1.27mm, for Arm Jtag;;P6, P7;;Inverte Logica;0;;;;FTSH-105-01-L-DV-K;;SAMTEC;Mouser;;;0;0;;;
FTSH-107-01-L-DV-K;Samtech FTSH Header, 14pin (7x2), pitch 1.27mm, for Arm Jtag;;P8, P9;;Inverte Logica;2;;;;FTSH-107-01-L-DV-K;;SAMTEC;Mouser;;;0;0;;;
653105124022;WR-WTB SMT Male Vertical Shrouded Header, pitch 1.25mm, 5p;;P10;;Inverte Logica;1;;;;653105124022;;WURTH EL;Mouser;;;0;0;;;
STD16N60M2;N-channel 600 V, 280mR typ., 12 A MDmesh M2 Power MOSFET;;Q1;;Inverte Logica;1;;;;STD16N60M2;;ST;Mouser;;;0;0;;;
BC847C-QR;NPN general purpose transistors;;Q2, Q3, Q15, Q17;;Inverte Logica;4;;;;BC847C-QR;;NEXPERIA;Mouser;;;0;0;;;
NHDTC143ZUX;NPN  Digital Transistor, R1=4k7 R2=47k, SOT323;;Q4, Q6, Q7, Q10, Q11, Q12, Q13, Q14;;Inverte Logica;8;;;;NHDTC143ZUX;;NEXPERIA;Mouser;;;0;0;;;
NVS4001NT1G;N-Channel 30V, 1R5@2.5Vgs, 270mA, AEC-Q101, SC70-3;;Q5;;Inverte Logica;1;;;;NVS4001NT1G;;ONSEMI;Mouser;;;0;0;;;
STB28N60M2;N-channel 600 V, 135mR typ., 22 A MDmesh M2 Power MOSFET;;Q8;;Inverte Logica;1;;;;STB28N60M2;;ST;Mouser;;;0;0;;;
ISC16DP15LMATMA1;P-Channel 150V, 160mR typ, 22A Optimos;;Q9;;Inverte Logica;1;;;;ISC16DP15LMATMA1;;INFINEON;Mouser;;;0;0;;;
FDN304P;P-Channel 20V, 100mR@1.8Vgs, 2.4A, SOT23;;Q16;;Inverte Logica;1;;;;FDN304P;;;Mouser;;;0;0;;;
CM7V-T1A-32.768kHz-7pF-20PPM-TB-QA;Quartz 32768Hz,20ppm, Cl=7pF, Auto, SMD2;;QZ1;;Inverte Logica;1;;;;CM7V-T1A-32.768kHz-7pF-20PPM-TB-QA;;Micro Crystal;Mouser;;;0;0;;;
CRCW120618R0FKEAC;Thick Film SM Chip Resistors, 18R, 1206, ±1%, 1/4W;;R1, R2;;Inverte Logica;0;;;;CRCW120618R0FKEAC;;VISHAY;Mouser;;;0;0;;;
CRCW060347K0FKEA;Thick Film SM Chip Resistors, 47K,  0603, ±1%, 1/10W;;R3, R4, R146;;Inverte Logica;3;;;;CRCW060347K0FKEA;;VISHAY;Mouser;;;0;0;;;
CRCW120639K0FKEA;Thick Film SM Chip Resistors, 39K, 1206, ±1%, 1/4W;;R5, R6;;Inverte Logica;2;;;;CRCW120639K0FKEA;;VISHAY;Mouser;;;0;0;;;
CRCW060310R0FKE;Thick Film SM Chip Resistors, 10R, 0603, ±1%, 1/10W;;R7, R173, R174, R182, R183, R191;;Inverte Logica;6;;;;CRCW060310R0FKE;;VISHAY;Mouser;;;0;0;;;
CRCW08056R20FKEA;Thick Film SM Chip Resistors, 6R2, 0805, ±1%, 1/5W;;R8;;Inverte Logica;1;;;;CRCW08056R20FKEA;;VISHAY;Mouser;;;0;0;;;
CRCW06031K00FKEA;Thick Film SM Chip Resistors, 1K, 0603, ±1%, 1/10W;;R9, R82, R120, R216, R255, R263, R268;;Inverte Logica;7;;;;CRCW06031K00FKEA;;VISHAY;Mouser;;;0;0;;;
RCWE2010R560FKEA;Thick Film SM Low Value Chip Resistor, 560mR, 2010, 1%, 2W;;R10;;Inverte Logica;1;;;;RCWE2010R560FKEA;;VISHAY;Mouser;;;0;0;;;
CRCW06039K76FKEA;Thick Film SM Chip Resistors, 9K76, 0603, ±1%, 1/10W;;R11;;Inverte Logica;1;;;;CRCW06039K76FKEA;;VISHAY;Mouser;;;0;0;;;
CRCW0603768RFKEA;Thick Film SM Chip Resistors, 768R, 0603, ±1%, 1/10W;;R12, R23;;Inverte Logica;2;;;;CRCW0603768RFKEA;;VISHAY;Mouser;;;0;0;;;
CRCW06033K65FKEA;Thick Film SM Chip Resistors, 3K65, 0603, ±1%, 1/10W;;R13;;Inverte Logica;1;;;;CRCW06033K65FKEA;;VISHAY;Mouser;;;0;0;;;
CRCW060320K0FKE;Thick Film SM Chip Resistors, 20K, 0603, ±1%, 1/10W;;R14, R147;;Inverte Logica;2;;;;CRCW060320K0FKE;;VISHAY;Mouser;;;0;0;;;
CRCW060315K4FKEA;Thick Film SM Chip Resistors, 15K4, 0603, ±1%, 1/10W;;R15;;Inverte Logica;1;;;;CRCW060315K4FKEA;;VISHAY;Mouser;;;0;0;;;
TNPW06036K26BEEA;Thick Film SM Chip Resistors, 6K26, 0603, ±0.1%, 1/10W;;R16;;Inverte Logica;1;;;;TNPW06036K26BEEA;;VISHAY;Mouser;;;0;0;;;
CRCW06031K62FKEA;Thick Film SM Chip Resistors, 1K62 0603, ±1%, 1/10W;;R17, R67, R122, R217;;Inverte Logica;4;;;;CRCW06031K62FKEA;;VISHAY;Mouser;;;0;0;;;
CRCW0603162RFKEA;Thick Film SM Chip Resistors, 162R, 0603, ±1%, 1/10W;;R18;;Inverte Logica;1;;;;CRCW0603162RFKEA;;VISHAY;Mouser;;;0;0;;;
CRCW06034K99FKEA;Thick Film SM Chip Resistors, 4K99, 0603, ±1%, 1/10W;;R19, R254;;Inverte Logica;2;;;;CRCW06034K99FKEA;;VISHAY;Mouser;;;0;0;;;
CRCW060345K3FKEA;Thick Film SM Chip Resistors, 45K3,  0603, ±1%, 1/10W;;R20;;Inverte Logica;1;;;;CRCW060345K3FKEA;;VISHAY;Mouser;;;0;0;;;
CRCW06033K90FKEA;Thick Film SM Chip Resistors, 3K9, 0603, ±1%, 1/10W;;R21, R25, R26, R36, R37, R48, R49;;Inverte Logica;7;;;;CRCW06033K90FKEA;;VISHAY;Mouser;;;0;0;;;
CRCW0603845RFKEA;Thick Film SM Chip Resistors, 845R, 0603, ±1%, 1/10W;;R22;;Inverte Logica;1;;;;CRCW0603845RFKEA;;VISHAY;Mouser;;;0;0;;;
CRCW06031M00FKEB;Thick Film SM Chip Resistors, 1Meg, 0603, ±1%, 1/10W;;R24, R35, R47, R57, R196, R203;;Inverte Logica;6;;;;CRCW06031M00FKEB;;VISHAY;Mouser;;;0;0;;;
CRCW0603115KFKEA;Thick Film SM Chip Resistors, 115K, 0603, ±1%, 1/10W;;R27, R38, R50;;Inverte Logica;0;;;;CRCW0603115KFKEA;;VISHAY;Mouser;;;0;0;;;
CRCW0603470KFKEA;Thick Film SM Chip Resistors, 470K, 0603, ±1%, 1/10W;;R28, R29, R39, R51, R250;;Inverte Logica;5;;;;CRCW0603470KFKEA;;VISHAY;Mouser;;;0;0;;;
CRCW04021K00FKED;Thick Film SM Chip Resistors, 1K, 0402, ±1%, 1/16W;;R30, R44;;Inverte Logica;0;;;;CRCW04021K00FKED;;VISHAY;Mouser;;;0;0;;;
CRCW06033K30FKEA;Thick Film SM Chip Resistors, 3K3, 0603, ±1%, 1/10W;;R31, R40, R52, R58, R149, R192, R193, R199, R200, R264;;Inverte Logica;10;;;;CRCW06033K30FKEA;;VISHAY;Mouser;;;0;0;;;
CRCW0603115KFKEA;Thick Film SM Chip Resistors, 115K, 0603, ±1%, 1/10W;;R32, R33, R41, R54;;Inverte Logica;4;;;;CRCW0603115KFKEA;;VISHAY;Mouser;;;0;0;;;
CRCW0603330KFKEA;Thick Film SM Chip Resistors, 330K, 0603, ±1%, 1/10W;;R34, R45, R55;;Inverte Logica;3;;;;CRCW0603330KFKEA;;VISHAY;Mouser;;;0;0;;;
CRCW0603110KFKEA;Thick Film SM Chip Resistors, 110K, 0603, ±1%, 1/10W;;R42, R46, R56;;Inverte Logica;3;;;;CRCW0603110KFKEA;;VISHAY;Mouser;;;0;0;;;
CRCW0603360KFKEA;Thick Film SM Chip Resistors, 360K, 0603, ±1%, 1/10W;;R43;;Inverte Logica;1;;;;CRCW0603360KFKEA;;VISHAY;Mouser;;;0;0;;;
CRCW0402100KFKED;Thick Film SM Chip Resistors, 100K, 0402, ±1%, 1/16W;;R53, R195, R202, R235;;Inverte Logica;4;;;;CRCW0402100KFKED;;VISHAY;Mouser;;;0;0;;;
CRCW0603107KFKEA;Thick Film SM Chip Resistors, 107K, 0603, ±1%, 1/10W;;R59;;Inverte Logica;1;;;;CRCW0603107KFKEA;;VISHAY;Mouser;;;0;0;;;
CRCW040280K6FKED;Thick Film SM Chip Resistors, 80K6, 0402, ±1%, 1/16W;;R60;;Inverte Logica;1;;;;CRCW040280K6FKED;;VISHAY;Mouser;;;0;0;;;
CRCW04021K00FKED;Thick Film SM Chip Resistors, 1K, 0402, ±1%, 1/16W;;R61, R85, R102, R111, R161, R162;;Inverte Logica;6;;;;CRCW04021K00FKED;;VISHAY;Mouser;;;0;0;;;
CRCW040217K8FKTD;Thick Film SM Chip Resistors, 17K8, 0402, ±1%, 1/16W;;R62;;Inverte Logica;1;;;;CRCW040217K8FKTD;;VISHAY;Mouser;;;0;0;;;
CRCW0402100RFKED;Thick Film SM Chip Resistors, 100R, 0402, ±1%, 1/16W;;R63, R65, R80, R157, R172, R197, R198, R221, R227, R228, R252, R265, R266, R267;;Inverte Logica;14;;;;CRCW0402100RFKED;;VISHAY;Mouser;;;0;0;;;
CRCW060333R0FKE;Thick Film SM Chip Resistors, 33R, 0603, ±1%, 1/10W;;R64, R148, R151, R154;;Inverte Logica;4;;;;CRCW060333R0FKE;;VISHAY;Mouser;;;0;0;;;
ERJ-PB6B2202V;Thick Film SM Chip Resistors, 22K, 0805, ±0.1%, Anti-Surge, 1/4W, Thick Film SM Chip Resistors, 22K, 0603, ±0.1%, Anti-Surge, 1/4W;;R66, R153;;Inverte Logica;2;;;;ERJ-PB6B2202V;;PANASONIC;Mouser;;;0;0;;;
PA2512FKE7T0R01E;Current Shunt Res - SMD 2512, 10mOhm, 1% , 3W, AEC-Q200;;R68;;Inverte Logica;1;;;;PA2512FKE7T0R01E;;YAGEO;Mouser;;;0;0;;;
RCWE2010R100FKEA;Thick Film SM Low Value Chip Resistor, 100mR, 2010, 1%, 2W;;R69;;Inverte Logica;0;;;;RCWE2010R100FKEA;;VISHAY;Mouser;;;0;0;;;
CRCW0603470RFKEA;Thick Film SM Chip Resistors, 470R, 0603, ±1%, 1/10W;;R70, R74, R125, R129, R225, R226, R241;;Inverte Logica;7;;;;CRCW0603470RFKEA;;VISHAY;Mouser;;;0;0;;;
